anio,catalogo,cont_anio_catalogo,conteo_anio
2018,basicos,8804761,9
2018,medicamentos,3657969,9
2018,electrodomesticos,1735336,9
2018,frutas y legumbres,938616,9
2018,mercados,457497,9
2018,utiles escolares,669587,9
2018,juguetes,370421,9
2018,pescados y mariscos,90040,9
2018,navideno,58674,9
2019,basicos,7399439,9
2019,medicamentos,2887105,9
2019,mercados,381183,9
2019,utiles escolares,579623,9
2019,frutas y legumbres,702747,9
2019,juguetes,267730,9
2019,electrodomesticos,1352068,9
2019,navideno,42538,9
2019,pescados y mariscos,69658,9
2020,basicos,6170517,9
2020,utiles escolares,219573,9
2020,medicamentos,2571915,9
2020,electrodomesticos,602860,9
2020,frutas y legumbres,643820,9
2020,mercados,312800,9
2020,juguetes,181907,9
2020,pescados y mariscos,50978,9
2020,navideno,26111,9
2021,utiles escolares,551427,9
2021,navideno,43490,9
2021,basicos,6919490,9
2021,medicamentos,2937404,9
2021,frutas y legumbres,756850,9
2021,electrodomesticos,1004833,9
2021,mercados,318280,9
2021,juguetes,207318,9
2021,pescados y mariscos,74902,9
2022,basicos,8168617,9
2022,medicamentos,3164281,9
2022,utiles escolares,423383,9
2022,mercados,366327,9
2022,electrodomesticos,1024661,9
2022,juguetes,180328,9
2022,pescados y mariscos,113921,9
2022,frutas y legumbres,922762,9
2022,navideno,33332,9
2023,basicos,8413763,9
2023,medicamentos,3192617,9
2023,frutas y legumbres,861829,9
2023,mercados,324401,9
2023,utiles escolares,446039,9
2023,electrodomesticos,1183304,9
2023,juguetes,205361,9
2023,pescados y mariscos,123335,9
2023,navideno,32163,9
2024,basicos,2142375,9
2024,medicamentos,798628,9
2024,electrodomesticos,267835,9
2024,frutas y legumbres,211839,9
2024,mercados,76886,9
2024,utiles escolares,62102,9
2024,pescados y mariscos,45966,9
2024,juguetes,19114,9
2024,navideno,202,9
