anio,catalogo,categoria,cont_anio_catalogo,cont_anio_categoria
2018,basicos,pescados y mariscos,8804761,1984
2018,basicos,utensilios domesticos,8804761,1985
2018,basicos,grasas animales comestibles,8804761,10669
2018,basicos,cigarrillos,8804761,11020
2018,basicos,alimentos cocinados f/casa,8804761,11931
2018,basicos,medicamentos,8804761,12202
2018,basicos,te,8804761,12499
2018,basicos,azucar,8804761,37456
2018,basicos,leche fresca,8804761,41048
2018,basicos,hortalizas frescas,8804761,45609
2018,basicos,accesorios domesticos,8804761,50971
2018,basicos,carne de ave,8804761,62761
2018,basicos,productos de temporada (navidenos),8804761,81766
2018,basicos,huevo,8804761,88322
2018,basicos,carne y visceras de cerdo,8804761,107140
2018,basicos,vinos y licores,8804761,118495
2018,basicos,carne y visceras de res,8804761,138173
2018,basicos,pescados y mariscos en conserva,8804761,140153
2018,basicos,cerveza,8804761,142318
2018,basicos,legumbres secas,8804761,144722
2018,basicos,tortillas y derivados del maiz,8804761,152767
2018,basicos,cafe,8804761,165939
2018,basicos,aceites y grasas veg. comestibles,8804761,238291
2018,basicos,arroz y cereales preparados,8804761,262406
2018,basicos,pan,8804761,270376
2018,basicos,galletas pastas y harinas de trigo,8804761,373570
2018,basicos,arts. de papel p/higiene personal,8804761,438240
2018,basicos,leche procesada,8804761,446420
2018,basicos,chocolates y golosinas,8804761,460749
2018,basicos,frutas y legumbres procesadas,8804761,479205
2018,basicos,condimentos,8804761,526847
2018,basicos,carnes frias secas y embutidos,8804761,593642
2018,basicos,refrescos envasados,8804761,636955
2018,basicos,derivados de leche,8804761,668873
2018,basicos,detergentes y productos similares,8804761,669682
2018,basicos,arts. para el cuidado personal,8804761,1159575
2018,electrodomesticos,arts. de esparcimiento (juguetes),1735336,31852
2018,electrodomesticos,utensilios domesticos,1735336,32336
2018,electrodomesticos,aparatos electronicos,1735336,616216
2018,electrodomesticos,aparatos electricos,1735336,1054932
2018,frutas y legumbres,condimentos,938616,332
2018,frutas y legumbres,productos de temporada (navidenos),938616,48345
2018,frutas y legumbres,frutas frescas,938616,389541
2018,frutas y legumbres,hortalizas frescas,938616,500398
2018,juguetes,arts. de esparcimiento (juguetes),370421,370421
2018,medicamentos,medicamentos,3657969,3657969
2018,mercados,accesorios domesticos,457497,47
2018,mercados,pescados y mariscos,457497,246
2018,mercados,leche fresca,457497,478
2018,mercados,arts. de papel p/higiene personal,457497,2296
2018,mercados,grasas animales comestibles,457497,2378
2018,mercados,huevo,457497,2522
2018,mercados,cafe,457497,3411
2018,mercados,pescados y mariscos en conserva,457497,5677
2018,mercados,tortillas y derivados del maiz,457497,5698
2018,mercados,azucar,457497,6338
2018,mercados,refrescos envasados,457497,6849
2018,mercados,hortalizas frescas,457497,7053
2018,mercados,arts. para el cuidado personal,457497,7716
2018,mercados,arroz y cereales preparados,457497,9959
2018,mercados,carne de ave,457497,10410
2018,mercados,leche procesada,457497,10976
2018,mercados,pan,457497,11331
2018,mercados,galletas pastas y harinas de trigo,457497,12125
2018,mercados,productos de temporada (navidenos),457497,14946
2018,mercados,aceites y grasas veg. comestibles,457497,15185
2018,mercados,chocolates y golosinas,457497,20824
2018,mercados,derivados de leche,457497,21587
2018,mercados,frutas y legumbres procesadas,457497,22194
2018,mercados,carnes frias secas y embutidos,457497,22545
2018,mercados,carne y visceras de res,457497,32521
2018,mercados,legumbres secas,457497,34683
