estado,producto,precio_prom,orden
aguascalientes,cytotec,2988.5162913118857,1
aguascalientes,arava,2762.8197171581714,2
aguascalientes,keppra,2397.2584470606803,3
aguascalientes,lipitor,1759.736245989673,4
aguascalientes,asenlix,1704.6074998510167,5
baja california,cytotec,2937.3212432195005,1
baja california,arava,2587.5318160153915,2
baja california,keppra,2307.2819926070692,3
baja california,asenlix,1788.6407496548632,4
baja california,lipitor,1706.4803607892052,5
baja california sur,cytotec,2760.2833010115714,1
baja california sur,arava,2566.1782674984056,2
baja california sur,keppra,2277.2031100166405,3
baja california sur,lipitor,1804.6334537582536,4
baja california sur,asenlix,1728.9425463584398,5
campeche,cytotec,2807.43747489334,1
campeche,arava,2482.9518821184024,2
campeche,keppra,2220.380033039432,3
campeche,lipitor,1731.385477591252,4
campeche,asenlix,1690.1479451384052,5
chiapas,cytotec,2986.4782867091803,1
chiapas,arava,2490.9427571287097,2
chiapas,keppra,2303.517788107121,3
chiapas,lipitor,1732.9879854442215,4
chiapas,asenlix,1668.7638546952578,5
chihuahua,cytotec,3026.518964106219,1
chihuahua,arava,2877.86831170083,2
chihuahua,keppra,2402.893929081296,3
chihuahua,lipitor,1784.7078401845572,4
chihuahua,asenlix,1767.3028229682611,5
ciudad de mexico,cytotec,3115.6960450233605,1
ciudad de mexico,arava,2704.9534826160116,2
ciudad de mexico,keppra,2434.187032190827,3
ciudad de mexico,lipitor,1834.1576735827218,4
ciudad de mexico,asenlix,1753.3889440798741,5
coahuila de zaragoza,cytotec,2991.008293867533,1
coahuila de zaragoza,arava,2827.9012703228323,2
coahuila de zaragoza,keppra,2422.7863668440073,3
coahuila de zaragoza,lipitor,1749.7305204072225,4
coahuila de zaragoza,lexapro,1713.2080724409648,5
colima,cytotec,2666.5069934475805,1
colima,arava,2195.7184269703976,2
colima,keppra,2114.0732258473795,3
colima,asenlix,1582.9105050223213,4
colima,lipitor,1574.8787736563847,5
durango,cytotec,2839.6415581987135,1
durango,arava,2637.215134079392,2
durango,keppra,2260.4107767534547,3
durango,asenlix,1697.9733627398398,4
durango,lipitor,1680.4658412866759,5
estado de mexico,cytotec,3039.585858894516,1
estado de mexico,arava,2600.9990993499755,2
estado de mexico,keppra,2387.9155259568297,3
estado de mexico,lipitor,1776.4118524323626,4
estado de mexico,asenlix,1724.665456254002,5
guanajuato,cytotec,3039.628677453791,1
guanajuato,arava,2761.9345811973253,2
guanajuato,keppra,2377.828002408576,3
guanajuato,lipitor,1804.0110082320002,4
guanajuato,lexapro,1749.0899999867893,5
guerrero,cytotec,2800.932391057249,1
guerrero,arava,2243.4120912575086,2
guerrero,keppra,2157.915464658995,3
guerrero,asenlix,1635.9129694001194,4
guerrero,lipitor,1612.7041960685483,5
hidalgo,cytotec,2982.9923635223768,1
hidalgo,arava,2411.6133552496644,2
hidalgo,keppra,2293.986093656613,3
hidalgo,lipitor,1709.0927004777375,4
hidalgo,asenlix,1709.0376506024097,5
jalisco,cytotec,2866.2807141274607,1
jalisco,arava,2329.490261381706,2
jalisco,keppra,2272.8971787079645,3
jalisco,lipitor,1757.5992870207604,4
jalisco,asenlix,1662.6861876099385,5
michoacan de ocampo,cytotec,2987.682512461234,1
michoacan de ocampo,arava,2836.1795629511025,2
michoacan de ocampo,keppra,2399.86548774409,3
michoacan de ocampo,asenlix,1821.3026729179417,4
michoacan de ocampo,lipitor,1817.953475000224,5
morelos,cytotec,3185.802329887778,1
morelos,arava,2939.1781491515458,2
morelos,keppra,2544.2300405033297,3
morelos,lipitor,1877.7439322677312,4
morelos,asenlix,1825.9096978156122,5
nayarit,cytotec,2682.098974609375,1
nayarit,arava,2172.2252274634134,2
nayarit,keppra,1997.1835569616867,3
nayarit,asenlix,1663.6192744140626,4
nayarit,lipitor,1577.772539358428,5
nuevo leon,cytotec,3127.9589856928983,1
nuevo leon,arava,2686.3112192116823,2
nuevo leon,keppra,2331.063632049991,3
nuevo leon,asenlix,1833.8864826740803,4
nuevo leon,lipitor,1716.7600341116186,5
oaxaca,cytotec,2907.0265921429605,1
oaxaca,arava,2462.7013237362817,2
oaxaca,keppra,2202.977961856181,3
oaxaca,asenlix,1736.4889210787687,4
oaxaca,lipitor,1688.0415632687227,5
puebla,cytotec,2888.748656063988,1
puebla,arava,2596.5887288501085,2
puebla,keppra,2321.8116257629704,3
puebla,lipitor,1769.901392397089,4
puebla,asenlix,1713.6660542678032,5
queretaro,cytotec,3021.5969314575195,1
queretaro,arava,2748.3695609649753,2
queretaro,keppra,2475.682687341391,3
queretaro,lipitor,1809.2088603007028,4
queretaro,fosamax plus,1717.4371844894315,5
quintana roo,cytotec,2988.2578811858025,1
quintana roo,arava,2673.4266901892493,2
quintana roo,keppra,2358.2219940508353,3
quintana roo,lipitor,1792.9389910919167,4
quintana roo,asenlix,1773.9592241670643,5
san luis potosi,cytotec,2996.9959484669844,1
san luis potosi,arava,2717.7242083580663,2
san luis potosi,keppra,2382.713125985871,3
san luis potosi,lipitor,1810.1946806250078,4
san luis potosi,fosamax plus,1713.6370228613655,5
sinaloa,cytotec,2704.9896330216666,1
sinaloa,arava,2326.067285088621,2
sinaloa,keppra,2097.457643963042,3
sinaloa,asenlix,1653.3428181318402,4
sinaloa,lipitor,1609.8369075668702,5
sonora,cytotec,2915.7139710870406,1
sonora,arava,2540.1341820892653,2
sonora,keppra,2196.8308597157747,3
sonora,asenlix,1773.616471825936,4
sonora,lipitor,1666.0220298439178,5
tabasco,cytotec,2971.6628135122905,1
tabasco,arava,2625.0286540515317,2
tabasco,keppra,2320.07496280788,3
tabasco,lipitor,1741.5695649550244,4
tabasco,asenlix,1736.3609092881945,5
tamaulipas,cytotec,2877.7320923987686,1
tamaulipas,arava,2549.1945240062673,2
tamaulipas,keppra,2255.316660422017,3
tamaulipas,asenlix,1747.518849625962,4
tamaulipas,lipitor,1687.7461920928954,5
tlaxcala,cytotec,2982.925450991278,1
tlaxcala,arava,2524.452521736391,2
tlaxcala,keppra,2292.9207623707366,3
tlaxcala,lipitor,1769.5240292566225,4
tlaxcala,lantus. insulina glargina,1657.7560659555288,5
veracruz,cytotec,2887.461513194376,1
veracruz,arava,2594.9253808261587,2
veracruz,keppra,2287.6280754186578,3
veracruz,lipitor,1699.299042297823,4
veracruz,asenlix,1692.980283721812,5
yucatan,cytotec,2988.235139609569,1
yucatan,arava,2711.2072752923395,2
yucatan,keppra,2385.3096186744856,3
yucatan,lipitor,1783.104779253673,4
yucatan,asenlix,1714.075702076227,5
