estado,anio,precio_promedio
aguascalientes,2018,2789.0102689560144
aguascalientes,2019,2789.412213740458
aguascalientes,2020,2661.560810810811
aguascalientes,2021,2932.311475409836
aguascalientes,2022,3108.8129032258066
aguascalientes,2023,3435.937931034483
aguascalientes,2024,3614.906976744186
baja california,2018,2797.6106942612137
baja california,2019,2909.6035225022006
baja california,2020,2998.3983339251895
baja california,2021,3275.3866943359376
baja california,2022,3130.7799995236282
baja california,2023,3200.0901202466116
baja california,2024,3584.5905905330883
baja california sur,2018,2967.416110568576
baja california sur,2019,2591.07333836411
baja california sur,2020,2551.2593057321947
baja california sur,2021,2665.895895070043
baja california sur,2022,2694.743203125
baja california sur,2023,3042.669921875
baja california sur,2024,3006.5950927734375
campeche,2018,2694.280704273897
campeche,2019,2727.1187539426437
campeche,2020,2607.0354624374136
campeche,2021,2699.2269996820496
campeche,2022,2886.673132905506
campeche,2023,3198.8219764122596
campeche,2024,3361.552001953125
chiapas,2018,2929.476331360947
chiapas,2019,2935.8973973940497
chiapas,2020,2681.5819033668154
chiapas,2021,3098.417129054214
chiapas,2022,3065.63056709397
chiapas,2023,3431.0434782608695
chiapas,2024,3566.2
chihuahua,2018,2860.7673566951307
chihuahua,2019,2846.780937194824
chihuahua,2021,2981.896782575335
chihuahua,2022,3100.0700972859895
chihuahua,2023,3300.7016885998178
chihuahua,2024,3407.0722307477677
ciudad de mexico,2018,3037.4749177530957
ciudad de mexico,2019,2976.5431019176135
ciudad de mexico,2020,2790.000037578276
ciudad de mexico,2021,3043.3925901813273
ciudad de mexico,2022,3230.399498706075
ciudad de mexico,2023,3486.3380333797463
ciudad de mexico,2024,3587.412307504507
coahuila de zaragoza,2018,2808.5933265686035
coahuila de zaragoza,2019,2762.68497587944
coahuila de zaragoza,2020,2657.320062404726
coahuila de zaragoza,2021,2892.088027402579
coahuila de zaragoza,2022,3125.8426966292136
coahuila de zaragoza,2023,3434.896907216495
coahuila de zaragoza,2024,3704.9245283018868
colima,2018,2631.926976854556
colima,2019,2696.3708478529675
colima,2020,2441.0
durango,2018,2624.4384826660157
durango,2019,2699.77077429279
durango,2020,2651.321195054328
durango,2021,2735.0448608398438
durango,2022,2964.7451833089194
durango,2023,3235.2441328498207
durango,2024,3470.0691945929275
estado de mexico,2018,2922.6120984499858
estado de mexico,2019,2901.81212559031
estado de mexico,2020,2755.4397805834574
estado de mexico,2021,2987.82567472934
estado de mexico,2022,3191.4308494948223
estado de mexico,2023,3446.642958514076
estado de mexico,2024,3518.2866423946098
guanajuato,2018,2893.264348909748
guanajuato,2019,2861.495579310826
guanajuato,2020,2724.8939838494957
guanajuato,2021,2981.2907830103272
guanajuato,2022,3138.6635442918346
guanajuato,2023,3436.9981598107993
guanajuato,2024,3547.8334095628957
guerrero,2018,2790.4815196161685
guerrero,2019,2819.573951863354
guerrero,2020,2629.393464461617
guerrero,2021,2892.0333333333333
guerrero,2024,3628.4666341145835
hidalgo,2018,2901.6773310122285
hidalgo,2019,2897.8116361177886
hidalgo,2020,2835.304854230183
hidalgo,2021,3015.0
hidalgo,2022,3229.4285714285716
hidalgo,2023,3568.2272727272725
hidalgo,2024,3474.0
jalisco,2018,2675.5738369254177
jalisco,2019,2745.3425635076633
jalisco,2020,2726.1767302684293
jalisco,2021,2859.3886550377156
jalisco,2022,3018.8435339463495
jalisco,2023,3341.4831679870035
jalisco,2024,3499.0300164473683
michoacan de ocampo,2018,2775.911919651261
michoacan de ocampo,2019,2784.473268821023
michoacan de ocampo,2020,2703.141696735964
michoacan de ocampo,2021,2932.402914683024
michoacan de ocampo,2022,3075.920881102071
michoacan de ocampo,2023,3257.9436072524713
michoacan de ocampo,2024,3424.630830078125
morelos,2018,3025.242855980283
morelos,2019,3184.214285714286
morelos,2021,3038.257197265625
morelos,2022,3131.755905511811
morelos,2023,3401.977879379735
morelos,2024,3484.9545454545455
nayarit,2018,2678.9483027495153
