estado,num_anios_est,estatus
aguascalientes,7,completo
baja california,7,completo
baja california sur,7,completo
campeche,7,completo
chiapas,7,completo
chihuahua,7,completo
ciudad de mexico,7,completo
coahuila de zaragoza,7,completo
colima,3,faltante
durango,7,completo
estado de mexico,7,completo
guanajuato,7,completo
guerrero,7,completo
hidalgo,7,completo
jalisco,7,completo
michoacan de ocampo,7,completo
morelos,7,completo
nayarit,3,faltante
nuevo leon,7,completo
oaxaca,7,completo
puebla,7,completo
queretaro,7,completo
quintana roo,7,completo
san luis potosi,7,completo
sinaloa,7,completo
sonora,7,completo
tabasco,7,completo
tamaulipas,7,completo
tlaxcala,7,completo
veracruz,7,completo
yucatan,7,completo
zacatecas,7,completo
