estado,anio,cont_est_anio
aguascalientes,2018,235847
aguascalientes,2019,289973
aguascalientes,2020,216598
aguascalientes,2021,240772
aguascalientes,2022,291820
aguascalientes,2023,313809
aguascalientes,2024,79726
baja california,2018,619093
baja california,2019,165344
baja california,2020,195002
baja california,2021,104216
baja california,2022,160203
baja california,2023,209715
baja california,2024,60414
baja california sur,2018,163771
baja california sur,2019,135558
baja california sur,2020,244874
baja california sur,2021,283821
baja california sur,2022,282548
baja california sur,2023,291569
baja california sur,2024,74986
campeche,2018,270889
campeche,2019,273786
campeche,2020,253009
campeche,2021,289282
campeche,2022,298464
campeche,2023,303525
campeche,2024,76119
chiapas,2018,360125
chiapas,2019,236768
chiapas,2020,124094
chiapas,2021,164396
chiapas,2022,164801
chiapas,2023,88692
chiapas,2024,24856
chihuahua,2018,401630
chihuahua,2019,264343
chihuahua,2020,7797
chihuahua,2021,182849
chihuahua,2022,385359
chihuahua,2023,442131
chihuahua,2024,114369
ciudad de mexico,2018,2492481
ciudad de mexico,2019,2495784
ciudad de mexico,2020,2446252
ciudad de mexico,2021,3062808
ciudad de mexico,2022,3355847
ciudad de mexico,2023,3320792
ciudad de mexico,2024,794834
coahuila de zaragoza,2018,345559
coahuila de zaragoza,2019,271376
coahuila de zaragoza,2020,226226
coahuila de zaragoza,2021,228360
coahuila de zaragoza,2022,232422
coahuila de zaragoza,2023,246396
coahuila de zaragoza,2024,66180
colima,2018,262907
colima,2019,283025
colima,2020,14588
durango,2018,287888
durango,2019,270862
durango,2020,238719
durango,2021,247466
durango,2022,247858
durango,2023,255165
durango,2024,68269
estado de mexico,2018,1840105
estado de mexico,2019,1814140
estado de mexico,2020,1827760
estado de mexico,2021,2052097
estado de mexico,2022,2196972
estado de mexico,2023,2275173
estado de mexico,2024,531301
guanajuato,2018,550547
guanajuato,2019,505784
guanajuato,2020,359468
guanajuato,2021,462816
guanajuato,2022,627679
guanajuato,2023,661998
guanajuato,2024,161713
guerrero,2018,298775
guerrero,2019,330448
guerrero,2020,104350
guerrero,2021,66624
guerrero,2022,77074
guerrero,2023,75327
guerrero,2024,29217
hidalgo,2018,255213
hidalgo,2019,208028
hidalgo,2020,188651
hidalgo,2021,21329
hidalgo,2022,51170
hidalgo,2023,128554
hidalgo,2024,15587
jalisco,2018,811385
jalisco,2019,631726
jalisco,2020,577489
jalisco,2021,634047
jalisco,2022,656106
jalisco,2023,702300
jalisco,2024,169937
michoacan de ocampo,2018,226767
michoacan de ocampo,2019,155119
michoacan de ocampo,2020,269586
michoacan de ocampo,2021,280885
michoacan de ocampo,2022,256208
michoacan de ocampo,2023,278337
michoacan de ocampo,2024,71962
morelos,2018,208855
morelos,2019,27530
morelos,2020,15949
morelos,2021,169536
morelos,2022,266914
morelos,2023,273533
morelos,2024,64394
nayarit,2018,230976
nayarit,2019,27635
nayarit,2020,7457
nuevo leon,2018,699308
nuevo leon,2019,471936
nuevo leon,2020,378586
nuevo leon,2021,482846
nuevo leon,2022,560027
nuevo leon,2023,614477
nuevo leon,2024,151140
oaxaca,2018,245528
oaxaca,2019,256981
oaxaca,2020,203726
oaxaca,2021,247549
oaxaca,2022,248123
oaxaca,2023,265726
oaxaca,2024,68880
puebla,2018,395217
puebla,2019,402726
puebla,2020,341534
puebla,2021,438280
puebla,2022,356875
puebla,2023,338442
puebla,2024,72272
queretaro,2018,377791
queretaro,2019,399644
queretaro,2020,369344
queretaro,2021,409820
queretaro,2022,417975
queretaro,2023,444975
queretaro,2024,115311
quintana roo,2018,585453
quintana roo,2019,428046
quintana roo,2020,390566
quintana roo,2021,431858
quintana roo,2022,385818
quintana roo,2023,475359
quintana roo,2024,122966
san luis potosi,2018,281169
san luis potosi,2019,271076
san luis potosi,2020,244669
san luis potosi,2021,279426
san luis potosi,2022,277739
san luis potosi,2023,286694
san luis potosi,2024,71405
sinaloa,2018,561147
sinaloa,2019,245321
sinaloa,2020,106815
sinaloa,2021,155030
sinaloa,2022,160907
sinaloa,2023,37301
sinaloa,2024,14151
sonora,2018,788125
sonora,2019,338454
sonora,2020,27068
sonora,2021,165564
sonora,2022,235641
sonora,2023,254460
sonora,2024,72676
tabasco,2018,383018
tabasco,2019,355292
tabasco,2020,302722
tabasco,2021,300771
tabasco,2022,472167
tabasco,2023,518479
tabasco,2024,130560
tamaulipas,2018,706469
tamaulipas,2019,360168
tamaulipas,2020,194061
tamaulipas,2021,198805
tamaulipas,2022,188243
tamaulipas,2023,194395
tamaulipas,2024,50612
tlaxcala,2018,340070
tlaxcala,2019,383845
tlaxcala,2020,252188
tlaxcala,2021,224262
tlaxcala,2022,269821
tlaxcala,2023,267891
tlaxcala,2024,66024
veracruz,2018,680277
veracruz,2019,632340
veracruz,2020,199515
veracruz,2021,305543
veracruz,2022,438212
veracruz,2023,323497
veracruz,2024,77827
yucatan,2018,506837
yucatan,2019,392515
yucatan,2020,210522
yucatan,2021,326201
yucatan,2022,391540
yucatan,2023,404564
yucatan,2024,92656
zacatecas,2018,369679
zacatecas,2019,356518
zacatecas,2020,241296
zacatecas,2021,356735
zacatecas,2022,443079
zacatecas,2023,489536
zacatecas,2024,114603
