anio,estado,producto,precio_promedio,ranking
2018,aguascalientes,cytotec,2789.0102689560144,1
2018,aguascalientes,arava,2153.623006982741,2
2018,aguascalientes,keppra,2071.391358928916,3
2018,aguascalientes,asenlix,1628.6417380386258,4
2018,aguascalientes,lipitor,1523.565196600486,5
2018,baja california,cytotec,2797.6106942612137,1
2018,baja california,arava,2210.898667605803,2
2018,baja california,keppra,2066.590462084362,3
2018,baja california,asenlix,1738.4372680664062,4
2018,baja california,lipitor,1571.068505594325,5
2018,baja california sur,cytotec,2967.416110568576,1
2018,baja california sur,arava,2240.5124947684153,2
2018,baja california sur,keppra,2114.381574664199,3
2018,baja california sur,asenlix,1758.661376953125,4
2018,baja california sur,lipitor,1481.5393538936491,5
2018,campeche,cytotec,2694.280704273897,1
2018,campeche,arava,2118.190976625913,2
2018,campeche,keppra,2043.978666719023,3
2018,campeche,asenlix,1632.946418261006,4
2018,campeche,lipitor,1513.560114144588,5
2018,chiapas,cytotec,2929.476331360947,1
2018,chiapas,arava,2166.688888888889,2
2018,chiapas,keppra,2129.604278074866,3
2018,chiapas,asenlix,1645.1944444444443,4
2018,chiapas,lipitor,1568.9605783509817,5
2018,chihuahua,cytotec,2860.7673566951307,1
2018,chihuahua,arava,2279.884340836698,2
2018,chihuahua,keppra,2094.3714270653663,3
2018,chihuahua,asenlix,1754.5729915734494,4
2018,chihuahua,lipitor,1638.5802995548693,5
2018,ciudad de mexico,cytotec,3037.4749177530957,1
2018,ciudad de mexico,arava,2222.276695818405,2
2018,ciudad de mexico,keppra,2118.2300636043306,3
2018,ciudad de mexico,asenlix,1739.0359564151013,4
2018,ciudad de mexico,lipitor,1512.7785856926937,5
2018,coahuila de zaragoza,cytotec,2808.5933265686035,1
2018,coahuila de zaragoza,arava,2165.3895528257776,2
2018,coahuila de zaragoza,keppra,2059.832103849712,3
2018,coahuila de zaragoza,asenlix,1744.6434737356085,4
2018,coahuila de zaragoza,lipitor,1580.7227078067556,5
2018,colima,cytotec,2631.926976854556,1
2018,colima,arava,2194.7429753296765,2
2018,colima,keppra,2052.6991423233694,3
2018,colima,asenlix,1575.6844529827822,4
2018,colima,lipitor,1523.1413319905598,5
2018,durango,cytotec,2624.4384826660157,1
2018,durango,arava,2096.356873642058,2
2018,durango,keppra,1956.528957633085,3
2018,durango,asenlix,1640.0042066072162,4
2018,durango,bonviva,1494.5738254123264,5
2018,estado de mexico,cytotec,2922.6120984499858,1
2018,estado de mexico,arava,2193.9495172620395,2
2018,estado de mexico,keppra,2084.8213222337804,3
2018,estado de mexico,asenlix,1686.925298412709,4
2018,estado de mexico,lipitor,1518.2619914691331,5
2018,guanajuato,cytotec,2893.264348909748,1
2018,guanajuato,arava,2238.1675775875833,2
2018,guanajuato,keppra,2082.7479072616484,3
2018,guanajuato,asenlix,1633.046278782895,4
2018,guanajuato,lipitor,1581.792021971275,5
2018,guerrero,cytotec,2790.4815196161685,1
2018,guerrero,keppra,2096.6003908172365,2
2018,guerrero,arava,2084.1816339666193,3
2018,guerrero,asenlix,1611.9536685943604,4
2018,guerrero,lipitor,1545.4593152197722,5
2018,hidalgo,cytotec,2901.6773310122285,1
2018,hidalgo,arava,2189.694678035783,2
2018,hidalgo,keppra,2111.3906541907268,3
2018,hidalgo,asenlix,1751.6324786324783,4
2018,hidalgo,lipitor,1558.198724465292,5
2018,jalisco,cytotec,2675.5738369254177,1
2018,jalisco,arava,2089.4803231222586,2
2018,jalisco,keppra,2049.0014011548915,3
2018,jalisco,asenlix,1632.6845601821835,4
2018,jalisco,lipitor,1492.9574550412735,5
2018,michoacan de ocampo,cytotec,2775.911919651261,1
2018,michoacan de ocampo,arava,2168.343815439755,2
2018,michoacan de ocampo,keppra,2083.7581508470616,3
2018,michoacan de ocampo,asenlix,1630.4479508833451,4
2018,michoacan de ocampo,bonviva,1537.8929684817135,5
2018,morelos,cytotec,3025.242855980283,1
2018,morelos,arava,2207.5050505050503,2
2018,morelos,keppra,2108.855670103093,3
2018,morelos,asenlix,1709.9883720930231,4
2018,morelos,lipitor,1513.6356606088034,5
2018,nayarit,cytotec,2678.9483027495153,1
2018,nayarit,arava,2168.4351720809937,2
2018,nayarit,keppra,2000.1492262620193,3
2018,nayarit,asenlix,1662.644950394082,4
2018,nayarit,lipitor,1587.7346304584023,5
2018,nuevo leon,cytotec,2666.976538764106,1
2018,nuevo leon,arava,2149.096183319574,2
2018,nuevo leon,keppra,2018.1444834644683,3
2018,nuevo leon,asenlix,1808.823377403846,4
2018,nuevo leon,lipitor,1490.260509952084,5
2018,oaxaca,cytotec,2876.8984572466684,1
2018,oaxaca,arava,2120.467300739694,2
2018,oaxaca,keppra,2033.4199996383104,3
2018,oaxaca,asenlix,1729.656914893617,4
2018,oaxaca,lipitor,1490.735561938996,5
2018,puebla,cytotec,2715.7099947415863,1
2018,puebla,arava,2156.104756588758,2
2018,puebla,keppra,2009.227055599815,3
2018,puebla,asenlix,1707.193038277004,4
2018,puebla,lipitor,1540.5756783745917,5
2018,queretaro,cytotec,2884.987485604457,1
2018,queretaro,arava,2178.7389970036397,2
2018,queretaro,keppra,2085.689154567489,3
2018,queretaro,asenlix,1673.0426550233997,4
2018,queretaro,lipitor,1548.3834188220571,5
2018,quintana roo,cytotec,2764.548466052039,1
2018,quintana roo,arava,2144.110621379984,2
2018,quintana roo,keppra,2066.4884404721465,3
2018,quintana roo,asenlix,1587.2123999023438,4
2018,quintana roo,lipitor,1578.8214262733163,5
2018,san luis potosi,cytotec,2854.273534601385,1
2018,san luis potosi,arava,2201.46157450447,2
2018,san luis potosi,keppra,2067.7698651318137,3
2018,san luis potosi,asenlix,1648.9102444790378,4
2018,san luis potosi,lipitor,1599.517339790158,5
2018,sinaloa,cytotec,2599.1196981894004,1
2018,sinaloa,arava,2157.3652102908572,2
2018,sinaloa,keppra,1957.5173428087348,3
2018,sinaloa,asenlix,1651.7031769304645,4
2018,sinaloa,lipitor,1494.6824884213477,5
2018,sonora,cytotec,2779.4974789160565,1
2018,sonora,arava,2210.989529900108,2
2018,sonora,keppra,1981.7646104155997,3
2018,sonora,asenlix,1709.8841381782515,4
2018,sonora,lipitor,1573.776207305483,5
2018,tabasco,cytotec,2825.6571118903885,1
2018,tabasco,arava,2095.597934429462,2
2018,tabasco,keppra,2059.4634164205413,3
2018,tabasco,asenlix,1651.1386056776664,4
2018,tabasco,lipitor,1505.761548206577,5
2018,tamaulipas,cytotec,2728.7558599793083,1
2018,tamaulipas,arava,2071.761932206284,2
2018,tamaulipas,keppra,1996.349819938444,3
2018,tamaulipas,asenlix,1764.6211801524123,4
2018,tamaulipas,lipitor,1493.23172226046,5
2018,tlaxcala,cytotec,2951.758572938012,1
2018,tlaxcala,arava,2150.792941541557,2
2018,tlaxcala,keppra,2047.880829275471,3
2018,tlaxcala,asenlix,1577.044585558833,4
2018,tlaxcala,lipitor,1543.8292941212253,5
2018,veracruz,cytotec,2795.588706351615,1
2018,veracruz,arava,2195.7616223274395,2
2018,veracruz,keppra,2059.096282392345,3
2018,veracruz,asenlix,1648.578018737354,4
2018,veracruz,lipitor,1515.8046009622562,5
2018,yucatan,cytotec,2837.011201171875,1
2018,yucatan,arava,2176.01904296875,2
2018,yucatan,keppra,2057.300438705756,3
2018,yucatan,asenlix,1663.087707053614,4
2018,yucatan,lipitor,1508.682847484058,5
2018,zacatecas,cytotec,2767.4176073831227,1
2018,zacatecas,arava,2120.524239352201,2
2018,zacatecas,keppra,2009.183336398302,3
2018,zacatecas,asenlix,1763.2813083814538,4
2018,zacatecas,lipitor,1552.7353963659118,5
2019,aguascalientes,cytotec,2789.412213740458,1
2019,aguascalientes,arava,2266.4246575342468,2
2019,aguascalientes,keppra,2140.8033777185387,3
2019,aguascalientes,lipitor,1598.637640449438,4
2019,aguascalientes,asenlix,1582.5726116204717,5
2019,baja california,cytotec,2909.6035225022006,1
2019,baja california,arava,2184.173901050122,2
2019,baja california,keppra,2150.321995192308,3
2019,baja california,asenlix,1731.0077024366035,4
2019,baja california,lipitor,1656.7618363465317,5
2019,baja california sur,cytotec,2591.07333836411,1
2019,baja california sur,arava,2311.186593191964,2
2019,baja california sur,keppra,2104.6918869018555,3
2019,baja california sur,asenlix,1752.0424979073662,4
2019,baja california sur,lipitor,1574.385256372317,5
2019,campeche,cytotec,2727.1187539426437,1
2019,campeche,arava,2228.6506607547885,2
2019,campeche,keppra,2078.2585957162332,3
2019,campeche,asenlix,1610.5565421268857,4
2019,campeche,lipitor,1607.131372767857,5
2019,chiapas,cytotec,2935.8973973940497,1
2019,chiapas,arava,2274.7771432059153,2
2019,chiapas,keppra,2158.3610395951705,3
2019,chiapas,lipitor,1641.7327586206898,4
2019,chiapas,evista,1569.763294175092,5
2019,chihuahua,cytotec,2846.780937194824,1
2019,chihuahua,arava,2328.3212604928526,2
2019,chihuahua,keppra,2090.9903909284517,3
2019,chihuahua,asenlix,1716.9260112277711,4
2019,chihuahua,lipitor,1596.838888511175,5
2019,ciudad de mexico,cytotec,2976.5431019176135,1
2019,ciudad de mexico,arava,2274.5702145720184,2
2019,ciudad de mexico,keppra,2139.7634168539876,3
2019,ciudad de mexico,asenlix,1634.200726303581,4
2019,ciudad de mexico,lipitor,1623.0977169567896,5
2019,coahuila de zaragoza,cytotec,2762.68497587944,1
2019,coahuila de zaragoza,arava,2264.785390803951,2
2019,coahuila de zaragoza,keppra,2096.637320429901,3
2019,coahuila de zaragoza,asenlix,1594.135047029194,4
2019,coahuila de zaragoza,lipitor,1593.702374835347,5
2019,colima,cytotec,2696.3708478529675,1
2019,colima,arava,2191.79111263452,2
2019,colima,keppra,2161.855459839758,3
2019,colima,lipitor,1618.9106389038952,4
2019,colima,asenlix,1590.14942859468,5
2019,durango,cytotec,2699.77077429279,1
2019,durango,arava,2189.327786427624,2
2019,durango,keppra,2056.130903545179,3
2019,durango,asenlix,1623.912539651208,4
2019,durango,lipitor,1583.7217618686946,5
2019,estado de mexico,cytotec,2901.81212559031,1
2019,estado de mexico,arava,2237.1327991680887,2
2019,estado de mexico,keppra,2111.5456006085433,3
2019,estado de mexico,asenlix,1626.7114349941037,4
2019,estado de mexico,lipitor,1613.4013065982626,5
2019,guanajuato,cytotec,2861.495579310826,1
2019,guanajuato,arava,2359.9764074900795,2
2019,guanajuato,keppra,2104.944736578526,3
2019,guanajuato,lipitor,1683.3149221420288,4
2019,guanajuato,asenlix,1604.6125597191567,5
2019,guerrero,cytotec,2819.573951863354,1
2019,guerrero,arava,2253.810831705729,2
2019,guerrero,keppra,2145.8650346235795,3
2019,guerrero,asenlix,1635.0756722909432,4
2019,guerrero,lipitor,1620.074860853956,5
2019,hidalgo,cytotec,2897.811636117789,1
2019,hidalgo,arava,2307.7076219128026,2
2019,hidalgo,keppra,2199.6315789473683,3
2019,hidalgo,lipitor,1679.8348320093048,4
2019,hidalgo,evista,1609.5625,5
2019,jalisco,cytotec,2745.3425635076633,1
2019,jalisco,arava,2109.5068864493533,2
2019,jalisco,keppra,2095.688030761719,3
2019,jalisco,asenlix,1629.767080411044,4
2019,jalisco,lipitor,1596.4361498655387,5
2019,michoacan de ocampo,cytotec,2784.473268821023,1
2019,michoacan de ocampo,arava,2333.1053684779577,2
2019,michoacan de ocampo,keppra,2140.467125844147,3
2019,michoacan de ocampo,asenlix,1766.8691380277594,4
2019,michoacan de ocampo,lipitor,1663.8236271027597,5
2019,morelos,cytotec,3184.214285714286,1
2019,morelos,arava,2268.8888888888887,2
2019,morelos,keppra,2112.222222222222,3
2019,morelos,asenlix,1706.8333333333333,4
2019,morelos,lipitor,1558.0588235294117,5
2019,nayarit,cytotec,2707.501266479492,1
2019,nayarit,arava,2206.8771623883927,2
2019,nayarit,keppra,1973.0874938964844,3
2019,nayarit,asenlix,1672.7941589355469,4
2019,nayarit,bonviva,1543.0321393694196,5
2019,nuevo leon,cytotec,2762.3683905117755,1
2019,nuevo leon,arava,2187.7461532201523,2
2019,nuevo leon,keppra,2029.3087235708083,3
2019,nuevo leon,asenlix,1697.1068892045455,4
2019,nuevo leon,lipitor,1527.2736626296746,5
2019,oaxaca,cytotec,2891.8656099759614,1
2019,oaxaca,arava,2275.4311408740564,2
2019,oaxaca,keppra,2090.8645457300645,3
2019,oaxaca,asenlix,1617.35911463484,4
2019,oaxaca,lipitor,1580.4278213146122,5
2019,puebla,cytotec,2780.4693196614585,1
2019,puebla,arava,2214.181433783637,2
2019,puebla,keppra,2066.4495561927747,3
2019,puebla,lipitor,1635.2438003077652,4
2019,puebla,asenlix,1633.1977704836995,5
