anio,estado,producto,precio_maximo,ranking
2018,aguascalientes,cytotec,3450.0,1
2018,aguascalientes,lexapro,2689.0,2
2018,aguascalientes,cialis,2620.0,3
2018,aguascalientes,arava,2591.0,4
2018,aguascalientes,keppra,2281.0,5
2018,baja california,cytotec,3367.18994140625,1
2018,baja california,cialis,2998.0,2
2018,baja california,cymbalta,2914.0,3
2018,baja california,lexapro,2850.0,4
2018,baja california,arava,2707.389892578125,5
2018,baja california sur,cytotec,3367.0,1
2018,baja california sur,arava,2863.4599609375,2
2018,baja california sur,lexapro,2850.0,3
2018,baja california sur,cialis,2739.0,4
2018,baja california sur,keppra,2610.0,5
2018,campeche,cytotec,3379.0,1
2018,campeche,lexapro,2689.0,2
2018,campeche,arava,2591.0,3
2018,campeche,keppra,2281.0,4
2018,campeche,cialis,2279.5,5
2018,chiapas,cytotec,3535.0,1
2018,chiapas,lexapro,2850.0,2
2018,chiapas,arava,2701.0,3
2018,chiapas,cialis,2608.0,4
2018,chiapas,lipitor,2558.0,5
2018,chihuahua,cytotec,3367.18994140625,1
2018,chihuahua,cialis,2998.0,2
2018,chihuahua,arava,2863.4599609375,3
2018,chihuahua,lexapro,2850.0,4
2018,chihuahua,keppra,2610.0,5
2018,ciudad de mexico,cytotec,3379.0,1
2018,ciudad de mexico,lexapro,2850.0,2
2018,ciudad de mexico,arava,2828.0,3
2018,ciudad de mexico,cialis,2608.0,4
2018,ciudad de mexico,lipitor,2558.0,5
2018,coahuila de zaragoza,cytotec,3379.0,1
2018,coahuila de zaragoza,cialis,2998.0,2
2018,coahuila de zaragoza,keppra,2910.0,3
2018,coahuila de zaragoza,arava,2863.4599609375,4
2018,coahuila de zaragoza,lexapro,2850.0,5
2018,colima,cytotec,3366.0,1
2018,colima,lexapro,2850.0,2
2018,colima,arava,2596.0,3
2018,colima,cialis,2281.43994140625,4
2018,colima,keppra,2193.0,5
2018,durango,cytotec,3366.0,1
2018,durango,lexapro,2850.0,2
2018,durango,cialis,2739.0,3
2018,durango,arava,2701.0,4
2018,durango,lipitor,2609.0,5
2018,estado de mexico,cytotec,3379.0,1
2018,estado de mexico,cialis,2883.0,2
2018,estado de mexico,cymbalta,2871.0,3
2018,estado de mexico,arava,2863.0,4
2018,estado de mexico,lexapro,2858.0,5
2018,guanajuato,cytotec,3379.0,1
2018,guanajuato,arava,2863.0,2
2018,guanajuato,lexapro,2850.0,3
2018,guanajuato,cialis,2739.0,4
2018,guanajuato,keppra,2610.0,5
2018,guerrero,cytotec,3366.0,1
2018,guerrero,lexapro,2850.0,2
2018,guerrero,arava,2591.0,3
2018,guerrero,lipitor,2358.7900390625,4
2018,guerrero,cialis,2281.43994140625,5
2018,hidalgo,cytotec,3379.0,1
2018,hidalgo,arava,2863.0,2
2018,hidalgo,lexapro,2850.0,3
2018,hidalgo,cialis,2739.0,4
2018,hidalgo,keppra,2610.0,5
2018,jalisco,cytotec,3367.0,1
2018,jalisco,cialis,2739.0,2
2018,jalisco,arava,2701.0,3
2018,jalisco,lexapro,2689.0,4
2018,jalisco,keppra,2610.0,5
2018,michoacan de ocampo,cytotec,3366.0,1
2018,michoacan de ocampo,lexapro,2856.0,2
2018,michoacan de ocampo,cialis,2739.0,3
2018,michoacan de ocampo,arava,2701.0,4
2018,michoacan de ocampo,keppra,2610.0,5
2018,morelos,cytotec,3366.0,1
2018,morelos,lexapro,2689.0,2
2018,morelos,cialis,2685.0,3
2018,morelos,arava,2591.0,4
2018,morelos,lipitor,2258.0,5
2018,nayarit,cytotec,3379.0,1
2018,nayarit,lexapro,2850.0,2
2018,nayarit,cialis,2739.0,3
2018,nayarit,arava,2701.0,4
2018,nayarit,lipitor,2609.0,5
2018,nuevo leon,cytotec,2895.0,1
2018,nuevo leon,lexapro,2850.0,2
2018,nuevo leon,cialis,2793.0,3
2018,nuevo leon,arava,2701.0,4
2018,nuevo leon,lipitor,2558.0,5
2018,oaxaca,cytotec,3366.0,1
2018,oaxaca,lexapro,2689.0,2
2018,oaxaca,arava,2591.0,3
2018,oaxaca,cialis,2428.0,4
2018,oaxaca,keppra,2349.0,5
2018,puebla,cytotec,3367.18994140625,1
2018,puebla,arava,2863.4599609375,2
2018,puebla,lexapro,2850.0,3
2018,puebla,cialis,2849.0,4
2018,puebla,lipitor,2609.8701171875,5
2018,queretaro,cytotec,3379.0,1
2018,queretaro,arava,2863.0,2
2018,queretaro,lexapro,2850.0,3
2018,queretaro,cialis,2849.0,4
2018,queretaro,keppra,2610.0,5
